index;Project url;Language;Contributors;OSE;BCE;PDE;SV;OS;SD;RS;TFS;UI;TC;CommitCount;DaysActive;FirstCommitDate;LastCommitDate;commitCentrality_Community Count;commitCentrality_TFN;commitCentrality_TFC;commitCentrality_CommunityAuthorCount_count;commitCentrality_CommunityAuthorCount_mean;commitCentrality_CommunityAuthorCount_stdev;commitCentrality_CommunityAuthorItemCount_count;commitCentrality_CommunityAuthorItemCount_mean;commitCentrality_CommunityAuthorItemCount_stdev;Issues_TFN;Issues_TFC;Issues_CommunityAuthorCount_count;Issues_CommunityAuthorCount_mean;Issues_CommunityAuthorCount_stdev;Issues_CommunityAuthorItemCount_count;Issues_CommunityAuthorItemCount_mean;Issues_CommunityAuthorItemCount_stdev;issuesAndPRsCentrality_TFN;issuesAndPRsCentrality_TFC;issuesAndPRsCentrality_CommunityAuthorCount_count;issuesAndPRsCentrality_CommunityAuthorCount_mean;issuesAndPRsCentrality_CommunityAuthorCount_stdev;issuesAndPRsCentrality_CommunityAuthorItemCount_count;issuesAndPRsCentrality_CommunityAuthorItemCount_mean;issuesAndPRsCentrality_CommunityAuthorItemCount_stdev;BusFactorNumber;SponsoredTFC;ExperiencedTFC
5;https://github.com/tensorflow/privacy;Python;44;0;0;1;0;1;1;0;1;1;0;706;1325;02/12/2018;20/07/2022;3;49;48.725.212.464.589.200;3;18;7.211.102.550.927.970;3;23.533.333.333.333.300;1.297.471.900.787.570;144;0;43;33.488.372.093.023.200;5.402.308.681.657.850;43;7.209.302.325.581.390;16.560.938.177.264.700;175;0;45;3.888.888.888.888.880;7.807.986.069.701.100;45;11.622.222.222.222.200;31.112.178.913.854.200;0.9714285714285714;5.382.436.260.623.220;7.733.711.048.158.640
6;https://github.com/tensorflow/graphics;Python;32;0;0;1;1;0;0;0;0;1;0;753;1061;09/05/2019;04/04/2022;4;18;8.645.418.326.693.220;4;9.25;4.924.428.900.898.050;4;188.25;19.136.418.160.146.800;158;18.765.432.098.765.400;32;496.875;8.185.291.194.299.920;32;1.265.625;29.851.902.597.819.000;197;13.381.201.044.386.400;38;52.105.263.157.894.700;11.421.075.574.702.700;38;4.031.578.947.368.420;15.976.978.459.107.500;0.9040404040404041;19.920.318.725.099.600;56.440.903.054.448.800
7;https://github.com/google/turbinia;Python;43;1;0;1;1;1;1;0;1;1;0;778;2499;16/09/2015;21/07/2022;3;47;60.282.776.349.614.300;3;16.666.666.666.666.600;12.858.201.014.657.200;3;2.593.333.333.333.330;2.581.265.839.338.000;39;4.759.036.144.578.310;7;5.714.285.714.285.710;5.879.747.322.073.330;7;9.485.714.285.714.280;12.914.259.376.290.000;4;63;4;16;9.556.847.457.887.630;4;529.5;3.583.168.988.479.330;0.953125;2.827.763.496.143.950;9.203.084.832.904.880
8;https://github.com/microsoft/dowhy;Python;45;1;1;1;1;0;1;0;0;1;0;617;1512;31/05/2018;21/07/2022;6;59;5.008.103.727.714.740;6;10;433.589.667.773.576;6;10.283.333.333.333.300;14.816.398.572.752.600;192;4.007.782.101.167.310;31;6.225.806.451.612.900;17.394.845.361.810.200;31;16.580.645.161.290.300;57.600.216.546.785.300;231;4.237.132.352.941.170;26;8.923.076.923.076.920;23.460.474.124.660.100;26;4.184.615.384.615.380;13.053.419.239.653.400;0.9956896551724138;5.834.683.954.619.120;6.628.849.270.664.500
9;https://github.com/godiard/help-activity;Python;39;0;1;1;0;0;1;0;1;1;0;632;4713;07/05/2008;03/04/2021;8;39;0;8;4.875;4.969.550.137.731.640;8;79;13.700.990.579.412.200;6;5.357.142.857.142.850;4;1.75;0.9574271077563381;4;7;9.521.904.571.390.460;23;5.321.888.412.017.160;6;4.166.666.666.666.660;33.115.957.885.386.100;6;38.833.333.333.333.300;4.117.483.049.954.990;1;30.063.291.139.240.500;4.177.215.189.873.410
10;https://github.com/trek10inc/awsume;Python;39;0;1;1;1;0;1;0;0;1;0;525;1883;31/03/2016;28/05/2021;5;39;0;5;7.8;5.403.702.434.442.510;5;105;12.262.748.468.430.700;124;3.387.096.774.193.540;39;32.051.282.051.282.000;7.831.043.108.509.960;39;6.358.974.358.974.350;23.458.235.204.728.800;159;3.646.723.646.723.640;48;33.333.333.333.333.300;9.070.253.775.176.260;48;73.125;30.926.237.741.617.700;1;9.333.333.333.333.330;8.819.047.619.047.610
11;https://github.com/rmcauley/rainwave;Python;38;0;1;1;0;0;1;1;0;0;1;3608;4147;02/01/2011;11/05/2022;5;35;713.968.957.871.397;4;6.5;7.681.145.747.868.600;4;58;6.616.645.675.869.300;16;5.652.173.913.043.470;3;5.666.666.666.666.660;4.041.451.884.327.380;3;23;25.942.243.542.145.600;36;5.083.056.478.405.310;4;9.25;10.719.919.153.924.000;4;75.25;8.983.085.958.251.390;0.918918918918919;16.352.549.889.135.200;9.703.436.807.095.340
12;https://github.com/SergeyPirogov/webdriver_manager;Python;39;1;1;1;1;0;1;1;1;0;1;413;2035;23/12/2016;21/07/2022;10;45;0;10;4.5;392.286.743.197.994;10;41.3;735.134.908.253.807;270;25.615.763.546.798.000;25;10.84;23.709.491.770.175.000;25;24.36;659.253.871.180.645;304;26.481.835.564.053.500;24;12.708.333.333.333.300;24.951.220.527.202.700;24;43.583.333.333.333.300;10.656.205.241.310.200;1;7.990.314.769.975.780;4.745.762.711.864.400
13;https://github.com/jMonkeyEngine/sdk;Python;39;1;1;1;1;0;1;0;0;0;1;2161;4149;14/03/2011;24/07/2022;4;33;3.428.968.070.337.800;4;9;39.157.800.414.902.400;4;540.25;4.963.697.378.634.860;114;3.191.823.899.371.060;11;10.454.545.454.545.400;7.672.856.526.270.200;11;5.781.818.181.818.180;7.541.726.351.680.780;120;3.357.664.233.576.640;11;11;812.403.840.463.596;11;7.472.727.272.727.270;976.945.145.943.117;0.9752066115702479;0.2776492364645997;944.932.901.434.521
14;https://github.com/linuxmint/cinnamon-session;Python;38;0;1;1;1;1;1;0;0;0;0;354;3294;02/06/2013;10/06/2022;5;36;6.892.655.367.231.630;5;7.6;39.749.213.828.703.500;5;70.8;6.442.980.676.674.420;44;0;15;2.933.333.333.333.330;365.409.098.851.971;15;5.466.666.666.666.660;8.576.268.474.831.050;69;26.729.559.748.427.600;14;5;602.558.647.002.035;14;22.714.285.714.285.700;36.467.959.744.302.700;0.9714285714285714;8.757.062.146.892.650;8.587.570.621.468.920
